neaddress,count,normalized_address,latitude,longitude
"Россия, обл. Ростовская, г. Ростов-на-Дону, ул. Станиславского, д. 118, Кровля здания Прочие",67,"ул. Станиславского Станиславского, г. Ростов-на-Дону",47.219703,39.722271
"Россия, край Краснодарский, р-н Гулькевичский, г. Гулькевичи, ул. Ленинградская, д. 1/3,   территория парка, площадка ТБО, ОДН, ОДН Линк Девелопмент ООО",66,"ул. Ленинградская Ленинградская, р-н Гулькевичский",45.369005,40.712511
"Россия, обл. Ростовская, г. Ростов-на-Дону, ул. Мурлычева, д. 60/стр. 35",66,"ул. Мурлычева Мурлычева, г. Ростов-на-Дону",47.233007,39.756236
"Россия, обл. Свердловская, г. Екатеринбург, ул. Советская, д. 22/к.2",66,"ул. Советская Советская, г. Екатеринбург",56.917072,60.480397
"Россия, край Краснодарский, р-н Апшеронский,   п-л Урочище Черногорье, башня, Башня БИК ООО",64,,44.932351,7.537081
"Россия, обл. Свердловская, г. Екатеринбург, ул. Суходольская, д. 200,   башня, Башня Вымпелком ПАО",64,"ул. Суходольская Суходольская, г. Екатеринбург",56.802504,60.494276
"Россия, обл. Ростовская, г. Шахты, ул. 50 лет ВЛКСМ, д. 1/к.Б",64,"ул. 50 лет ВЛКСМ 50 лет ВЛКСМ, г. Шахты",47.716967,40.232083
"Россия, край Краснодарский, г. Краснодар, ул. Морская, д. 54/2/к.1",63,"ул. Морская Морская, г. Краснодар",44.979411,38.950079
"Россия, край Краснодарский, р-н Лабинский, ст-ца Владимирская, ул. Мира, д. 190А,   столб, Столб железобетонный БИК ООО",63,"ул. Мира Мира, р-н Лабинский",44.620639,40.738948
"Россия, обл. Новосибирская, р-н Куйбышевский, г. Куйбышев, ул. Закраевского, д. 93, Башня на кровле МТС ПАО",62,"ул. Закраевского Закраевского, р-н Куйбышевский",55.449623,78.312971
"Россия, обл. Новосибирская, р-н Новосибирский,   Криводановский с/с, опора, МАО (башня/мачта на пригрузах) БИК ООО",62,,44.932351,7.537081
"Россия, край Краснодарский, р-н Ейский, с Александровка, ул. Советская, д. 31Ж,   столб, Столб железобетонный БИК ООО",62,"ул. Советская Советская, р-н Ейский",46.643772,38.400463
"Россия, респ. Татарстан, г. Казань, ул. Короленко, д. 52А,   кровля общежития ОАО ""Элекон"", Кровля здания Прочие",62,"ул. Короленко Короленко, п. Татарстан",55.620464,52.596791
"Россия, обл. Ростовская, г. Таганрог, ул. Галицкого, д. 8,   башня, Башня Первая Башенная Компания АО",62,"ул. Галицкого Галицкого, г. Таганрог",47.210143,38.850034
"Россия, обл. Ростовская, р-н Азовский, с Кулешовка, пер. Мичурина, д. 9,   ЖБО, ООО ""Армада"", Столб железобетонный БИК ООО",62,"пер. Мичурина Мичурина, р-н Азовский",47.078499,39.562964
"Россия, обл. Ростовская, р-н Миллеровский, сл Греково, ул. Центральная, д. 16, Столб железобетонный БИК ООО",61,"ул. Центральная Центральная, р-н Миллеровский",48.914045,40.140823
"Россия, обл. Ростовская, р-н Неклиновский, с Приморка, пер. 3-й,   на выд. терр. б, Башня БИК ООО",60,"пер. 3-й 3-й, р-н Неклиновский",50.358375,30.689046
"Россия, респ. Татарстан, г. Набережные Челны, пр-т Раиса Беляева,   вблизи д. 9, (комплекс 8/07), опора, Столб железобетонный Межрегиональная инфраструктурная группа ООО",60,,44.932351,7.537081
"Россия, обл. Ростовская, р-н Сальский, г. Сальск, ул. Ленина, д. 46, Кровля здания Прочие",60,"ул. Ленина Ленина, р-н Сальский",46.186842,41.668049
"Россия, обл. Ростовская, г. Ростов-на-Дону, ул. Левобережная,   стадион Ростов Арена, Внутри здания Прочие",59,"ул. Левобережная Левобережная, г. Ростов-на-Дону",47.210945,39.80559
"Россия, обл. Свердловская, г. Екатеринбург, пер. Асбестовский, д. 4",59,"пер. Асбестовский Асбестовский, г. Екатеринбург",56.847927,60.632194
"Россия, обл. Ростовская, г. Волгодонск, тер. снт Машиностроитель, ул. 8-я линия,   № 123 ж др, столб, Столб металлический БИК ООО",59,"ул. 8-я линия 8-я линия, г. Волгодонск",47.568308,42.131095
"Россия, край Краснодарский, р-н Отрадненский, ст-ца Спокойная, ул. Первомайская, д. 31А,   столб, Столб железобетонный БИК ООО",59,"ул. Первомайская Первомайская, р-н Отрадненский",44.397852,41.517635
"Россия, край Краснодарский, р-н Усть-Лабинский, ст-ца Ладожская, ул. Мира, д. 41,   столб, Столб железобетонный БИК ООО",58,"ул. Мира Мира, р-н Усть-Лабинский",45.209872,39.691899
"Россия, обл. Ростовская, г. Таганрог, пер. Добролюбовский, д. 11, Башня на кровле Теле2",58,"пер. Добролюбовский Добролюбовский, г. Таганрог",47.208098,38.935877
"Россия, обл. Ростовская, р-н Миллеровский, г. Миллерово, ул. Сурикова, д. 30,   столб, Столб железобетонный БИК ООО",58,"ул. Сурикова Сурикова, р-н Миллеровский",48.906483,40.375984
"Россия, обл. Ростовская, р-н Целинский, п Целина, ул. Калинина, д. 18,   столб, Столб железобетонный Теле2",58,"ул. Калинина Калинина, р-н Целинский",46.41093,40.982024
"Россия, обл. Ростовская, р-н Неклиновский, с Носово, ул. Мира, д. 33,   башня, Башня Первая Башенная Компания АО",58,"ул. Мира Мира, р-н Неклиновский",47.139988,38.361279
"Россия, край Краснодарский, г. Горячий Ключ, ул. Ярославского,   столб, Столб железобетонный БИК ООО",58,"ул. Ярославского Ярославского, г. Горячий Ключ",44.645085,39.160986
"Россия, обл. Ростовская, р-н Аксайский, х Верхнеподпольный, ул. Советская, д. 89,   столб, Столб металлический БИК ООО",58,"ул. Советская Советская, р-н Аксайский",47.439973,39.973072
"Россия, край Краснодарский, г. Краснодар, ул. им. Петра Метальникова, д. 4,   столб, Столб железобетонный БИК ООО",57,"ул. им. Петра Метальникова им. Петра Метальникова, г. Краснодар",45.095936,39.001499
"Россия, край Краснодарский, р-н Выселковский, ст-ца Выселки, пер. Восточный, д. 1,   мачта прочие, Мачта Прочие",57,"пер. Восточный Восточный, р-н Выселковский",45.57884,39.676538
"Россия, респ. Татарстан, р-н Азнакаевский, пгт Актюбинский, ул. Татарстана, д. 21В,   опора, Столб железобетонный Прочие",57,"ул. Татарстана Татарстана, п. Татарстан",55.620464,52.596791
"Россия, обл. Свердловская, г. Екатеринбург, п Медный,   пересечение Чадовская - Большая Съезжая. башня, Башня БИК ООО",57,,44.932351,7.537081
"Россия, респ. Татарстан, г. Казань, тер. Озеро Лебяжье, д. 2,   2.5 км на юго-восток от п. Залесный, Башня БИК ООО",57,,44.932351,7.537081
"Россия, респ. Татарстан, г. Набережные Челны, пр-д Ремонтный, д. 26,   опора",57,,44.932351,7.537081
"Россия, край Краснодарский, г. Краснодар, ул. Раздельная, д. 2/Б,   столб, Столб металлический МТС ПАО",57,"ул. Раздельная Раздельная, г. Краснодар",45.124592,38.997654
"Россия, обл. Ростовская, г. Каменск-Шахтинский, мкр Заводской, ул. Заводская,   0.05 км северо-восточнее дома 22, башня, Башня Прочие",56,"ул. Заводская Заводская, г. Каменск-Шахтинский",48.328836,40.251253
"Россия, обл. Ростовская, р-н Тарасовский, х Дубы,   башня, Башня Национальная Башенная Компания АО",56,,44.932351,7.537081
"Россия, респ. Татарстан, г. Казань, ул. Маршала Чуйкова, д. 1, Мачта на кровле МТС ПАО",56,"ул. Маршала Чуйкова Маршала Чуйкова, п. Татарстан",51.802096,39.182914
"Россия, обл. Ростовская, р-н Миллеровский, г. Миллерово, ул. Южная, д. 14,   столб , Столб металлический БИК ООО",56,"ул. Южная Южная, р-н Миллеровский",48.913157,40.381374
"Россия, обл. Ростовская, г. Волгодонск, ул. Волгодонская,   в районе д. 2В, Мачта, Мачта Прочие",56,"ул. Волгодонская Волгодонская, г. Волгодонск",47.522204,42.138838
"Россия, респ. Татарстан, г. Казань, ул. Мира (Самосырово), д. 122,   опора, Столб железобетонный БИК ООО",55,"ул. Мира (Самосырово) Мира (Самосырово), п. Татарстан",55.620464,52.596791
"Россия, край Краснодарский, р-н Красноармейский, п Октябрьский, ул. Красная, д. 20, Кровля здания Прочие",55,"ул. Красная Красная, р-н Красноармейский",45.370613,38.435533
"Россия, респ. Татарстан, г. Казань, ул. Дорожная (Нагорный), д. 54, Башня на кровле МТС ПАО",55,"ул. Дорожная (Нагорный) Дорожная (Нагорный), п. Татарстан",55.620464,52.596791
"Россия, обл. Ростовская, г. Ростов-на-Дону, пер. Островского,   в районе дома 81А/73,  ОДН, ОДН Мегафон ПАО",55,"пер. Островского Островского, г. Ростов-на-Дону",47.224257,39.702895
"Россия, обл. Ростовская, р-н Аксайский, х Камышеваха, пр-т Изумрудный, д. 54,   столб",55,,44.932351,7.537081
"Россия, обл. Ростовская, р-н Аксайский, ст-ца Старочеркасская,   башня, Башня БИК ООО",55,,44.932351,7.537081
"Россия, респ. Татарстан, р-н Альметьевский, п Сосновка,   3 км на юго-запад, башня",54,,44.932351,7.537081
"Россия, респ. Татарстан, г. Казань, ул. Гвардейская, д. 54",54,"ул. Гвардейская Гвардейская, п. Татарстан",55.620464,52.596791
"Россия, обл. Новосибирская, р-н Краснозерский, рп Краснозерское, ул. Промышленная, д. 6,   опора, МАО (башня/мачта на пригрузах) БИК ООО",54,"ул. Промышленная Промышленная, р-н Краснозерский",53.990205,79.225704
"Россия, респ. Татарстан, г. Казань, ул. Бутлерова, д. 54",54,"ул. Бутлерова Бутлерова, п. Татарстан",55.620464,52.596791
"Россия, респ. Татарстан, р-н Пестречинский, с Кощаково,   перекресток трассы М 7 с дорогой Казань - Стар. Шигалеево, (Кощаково) башня",54,,44.932351,7.537081
"Россия, обл. Ростовская, р-н Морозовский, г. Морозовск, ул. Руднева, д. 190А,   столб, Столб металлический БИК ООО",54,"ул. Руднева Руднева, р-н Морозовский",48.361975,41.830896
"Россия, респ. Татарстан, г. Казань, ул. Компрессорщиков (Новая Сосновка),   вблизи дома 61, опора, Столб железобетонный Первая Башенная Компания АО",54,"ул. Компрессорщиков (Новая Сосновка) Компрессорщиков (Новая Сосновка), п. Татарстан",55.620464,52.596791
"Россия, обл. Свердловская, г. Екатеринбург, пер. Асбестовский, д. 2/к.1",54,"пер. Асбестовский Асбестовский, г. Екатеринбург",56.847927,60.632194
"Россия, респ. Татарстан, р-н Альметьевский, г. Альметьевск,   Ленина ул, выезд на г. Набережные Челны, башня, Башня БИК ООО",54,,44.932351,7.537081
"Россия, обл. Ростовская, р-н Аксайский, п Верхнетемерницкий, ул. Ориона,   около д. 20, столб, Столб металлический БИК ООО",53,"ул. Ориона Ориона, р-н Аксайский",47.316601,39.74128
"Россия, респ. Татарстан, г. Казань, тер. Деревня Универсиады, д. 19, Кровля здания Прочие",53,,44.932351,7.537081
"Россия, обл. Новосибирская, р-н Колыванский, с Скала, ул. Макарова,   0.045 км восточнее дома 19, опора, МАО (башня/мачта на пригрузах) БИК ООО",52,"ул. Макарова Макарова, р-н Колыванский",55.375352,82.776466
"Россия, обл. Новосибирская, р-н Тогучинский, п Нечаевский, ул. Весенняя, зд. 16,   опора, МАО (башня/мачта на пригрузах) БИК ООО",52,"ул. Весенняя Весенняя, р-н Тогучинский",55.020105,83.420818
"Россия, респ. Татарстан, г. Казань, ул. Кулахметова, д. 5А, Башня на кровле МТС ПАО",52,"ул. Кулахметова Кулахметова, п. Татарстан",55.620464,52.596791
"Россия, респ. Татарстан, г. Казань, ул. Большая Красная, д. 55",52,"ул. Большая Красная Большая Красная, п. Татарстан",55.620464,52.596791
"Россия, обл. Новосибирская, г. Новосибирск, ул. Залесского, д. 31, Кровля здания МТС ПАО",52,"ул. Залесского Залесского, г. Новосибирск",55.069087,82.924391
"Россия, обл. Ростовская, г. Волгодонск, ул. Молодежная, д. 1А,   столб, Столб металлический БИК ООО",52,"ул. Молодежная Молодежная, г. Волгодонск",47.512558,42.201558
"Россия, край Краснодарский, р-н Курганинский, г. Курганинск, ул. Кавказская, д. 16,   Водонапорная башня, Водонапорная башня Прочие",52,"ул. Кавказская Кавказская, р-н Курганинский",44.905142,40.604722
"Россия, обл. Ростовская, р-н Чертковский, с Тихая Журавка, ул. Широкая,   в районе дома 18, столб, Столб железобетонный БИК ООО",52,"ул. Широкая Широкая, р-н Чертковский",49.578469,40.675518
"Россия, обл. Ростовская, г. Зверево, ул. Советская, д. 91, Столб железобетонный БИК ООО",52,"ул. Советская Советская, г. Зверево",48.017945,40.11753
"Россия, край Краснодарский, р-н Тимашевский, х Беднягина, ул. Гаражная, д. 26,   столб, Столб железобетонный БИК ООО",52,"ул. Гаражная Гаражная, р-н Тимашевский",45.521999,38.992686
"Россия, обл. Свердловская, г. Екатеринбург, ул. 2-я Новосибирская, д. 2",52,"ул. 2-я Новосибирская 2-я Новосибирская, г. Екатеринбург",56.758877,60.588186
"Россия, край Краснодарский, р-н Усть-Лабинский, г. Усть-Лабинск, ул. Глубокая, д. 7,   столб, Столб металлический БИК ООО",51,"ул. Глубокая Глубокая, р-н Усть-Лабинский",45.238579,39.707799
"Россия, обл. Ростовская, г. Ростов-на-Дону, ул. Дранко, д. 112/к.1",51,"ул. Дранко Дранко, г. Ростов-на-Дону",47.235803,39.690929
